nparam/M,ngpu,nlayer,hidden,seq_len,n_micro,mb,time,memory,algo
127.25,8,1,1024,1024,4,2,2726.61,1.58,zb1
,,,,,,,2679.75,2.14,zb2
,,,,,,,2806.73,1.35,1f1b
,,,,,,,597.54,0.56,ds
,,,,,,,3956.21,2.58,1f1bi
,,,,,,,1009.36,0.86,weipipe
127.25,8,1,1024,1024,4,2,2726.61,1.58,zb1
,,,,,,,2679.75,2.14,zb2
,,,,,,,16256.83,6.89,1f1b
,,,,,,,1258.47,1.74,ds
,,,,,,,3956.21,2.58,1f1bi
,,,,,,,3283.25,2.61,weipipe
127.25,8,1,1024,1024,4,2,2726.61,1.58,zb1
,,,,,,,2679.75,2.14,zb2
,,,,,,,16256.83,6.89,1f1b
,,,,,,,1258.47,1.74,ds
,,,,,,,3956.21,2.58,1f1bi
,,,,,,,3283.25,2.61,weipipe
127.25,8,1,1024,1024,4,2,2726.61,1.58,zb1
,,,,,,,2679.75,2.14,zb2
,,,,,,,11270.22,8.49,1f1b
,,,,,,,644.46,2.11,ds
,,,,,,,3956.21,2.58,1f1bi
,,,,,,,3283.25,2.61,weipipe
127.25,8,1,1024,1024,4,2,2726.61,1.58,zb1
,,,,,,,2679.75,2.14,zb2
,,,,,,,7365.27,5.60,1f1b
,,,,,,,399.38,2.02,ds
,,,,,,,3956.21,2.58,1f1bi
,,,,,,,832.02,2.63,weipipe
