[Rank 0] (after 15 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 15 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 16 iterations) memory (MB) | max allocated: 2599.1
[Rank 1] (after 16 iterations) memory (MB) | max allocated: 3195.7
[Rank 0] (after 17 iterations) memory (MB) | max allocated: 2599.1
[Rank 1] (after 17 iterations) memory (MB) | max allocated: 3195.7
[Rank 0] (after 18 iterations) memory (MB) | max allocated: 2599.1
[Rank 1] (after 18 iterations) memory (MB) | max allocated: 3195.7
[Rank 0] (after 19 iterations) memory (MB) | max allocated: 2599.1
[Rank 1] (after 19 iterations) memory (MB) | max allocated: 3195.7
[Rank 0] (after 20 iterations) memory (MB) | max allocated: 2599.1
[Rank 1] (after 20 iterations) memory (MB) | max allocated: 3195.7
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 3 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 3 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 4 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 4 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 5 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 5 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 6 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 6 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 7 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 7 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 8 iterations) memory (MB) | max allocated: 3100.6
[Rank 0] (after 8 iterations) memory (MB) | max allocated: 2503.5
[Rank 0] (after 9 iterations) memory (MB) | max allocated: 2503.5
[Rank 1] (after 9 iterations) memory (MB) | max allocated: 3100.6
